Perturb Freq,Filter Size,Mu,Psi,Is SVD,Overshoot,Convergence Time
13.0,200,0.004,0.0001,False,12.090351112783724,52.40068911636851
13.0,200,0.003,0.01,False,8.294467834028792,81.5623309761814
13.0,200,0.003,0.1,False,8.294467834028792,81.5623309761814
13.0,200,0.002,0.1,False,3.140427351019761,64.47304633506279
13.0,200,0.002,0.01,False,3.140427351019761,64.47304633506279
13.0,200,0.003,0.0001,False,8.294467834028792,81.5623309761814
13.0,200,0.001,0.1,False,3.259105017422025,16.36390953344418
13.0,200,0.004,0.01,False,12.090351112783724,52.40068911636851
13.0,200,0.002,0.0001,False,3.140427351019761,64.47304633506279
13.0,200,0.003,0.001,False,8.294467834028792,81.5623309761814
13.0,200,0.001,0.0001,False,3.259105017422025,16.36390953344418
13.0,200,0.001,0.001,False,3.259105017422025,16.36390953344418
13.0,200,0.002,0.001,False,3.140427351019761,64.47304633506279
13.0,200,0.004,0.001,False,12.090351112783724,52.40068911636851
13.0,200,0.001,0.01,False,3.259105017422025,16.36390953344418
13.0,200,0.003,0.1,True,41.553349832302715,90.0
13.0,200,0.004,0.01,True,208.331102268747,90.0
13.0,200,0.002,0.01,True,29.755630066129342,90.0
13.0,200,0.002,0.1,True,29.755630066129342,90.0
13.0,200,0.003,0.001,True,41.553349832302715,90.0
13.0,200,0.001,0.1,True,3.5435318044586728,90.0
13.0,200,0.001,0.001,True,3.5435318044586728,90.0
13.0,200,0.001,0.01,True,3.5435318044586728,90.0
13.0,200,0.002,0.001,True,29.755630066129342,90.0
13.0,200,0.004,0.0001,True,208.331102268747,90.0
13.0,200,0.004,0.001,True,208.331102268747,90.0
13.0,200,0.003,0.01,True,41.553349832302715,90.0
13.0,200,0.003,0.0001,True,41.553349832302715,90.0
13.0,200,0.002,0.0001,True,29.755630066129342,90.0
13.0,200,0.001,0.0001,True,3.5435318044586728,90.0
13.0,200,0.005,0.001,False,11.756264572516148,35.15995913379675
13.0,200,0.004,0.1,False,12.090351112783724,52.40068911636851
13.0,200,0.006,0.001,False,18.237854826157626,27.659808890402445
13.0,200,0.006,0.0001,False,18.237854826157626,27.659808890402445
13.0,200,0.005,0.1,False,11.756264572516148,35.15995913379675
13.0,200,0.005,0.0001,False,11.756264572516148,35.15995913379675
13.0,200,0.005,0.01,False,11.756264572516148,35.15995913379675
13.0,200,0.004,0.1,True,208.331102268747,90.0
13.0,200,0.006,0.01,False,18.237854826157626,27.659808890402445
13.0,200,0.007,0.001,False,26.34045619804512,33.03732045914381
13.0,200,0.006,0.001,True,1000.0,90.0
13.0,200,0.005,0.01,True,1000.0,90.0
13.0,200,0.006,0.1,False,18.237854826157626,27.659808890402445
13.0,200,0.008,0.0001,False,28.465933819302233,36.89557082473607
13.0,200,0.005,0.1,True,1000.0,90.0
13.0,200,0.005,0.001,True,1000.0,90.0
13.0,200,0.007,0.01,False,26.34045619804512,33.03732045914381
13.0,200,0.007,0.1,False,26.34045619804512,33.03732045914381
13.0,200,0.005,0.0001,True,1000.0,90.0
13.0,200,0.007,0.0001,False,26.34045619804512,33.03732045914381
13.0,200,0.008,0.001,False,28.465933819302233,36.89557082473607
13.0,200,0.006,0.0001,True,1000.0,90.0
13.0,200,0.008,0.0001,True,1000.0,90.0
13.0,200,0.006,0.01,True,1000.0,90.0
13.0,200,0.008,0.001,True,1000.0,90.0
13.0,200,0.006,0.1,True,1000.0,90.0
13.0,200,0.007,0.1,True,1000.0,90.0
13.0,200,0.007,0.01,True,1000.0,90.0
13.0,200,0.007,0.001,True,1000.0,90.0
13.0,200,0.007,0.0001,True,1000.0,90.0
13.0,200,0.009000000000000001,0.001,True,1000.0,90.0
13.0,200,0.009000000000000001,0.0001,True,1000.0,90.0
13.0,200,0.01,0.1,True,1000.0,90.0
13.0,200,0.01,0.0001,True,1000.0,90.0
13.0,200,0.009000000000000001,0.01,True,1000.0,90.0
13.0,200,0.01,0.01,True,1000.0,90.0
13.0,200,0.009000000000000001,0.0001,False,33.66849134934273,51.24922374246279
13.0,200,0.02,0.0001,True,1000.0,90.0
13.0,200,0.009000000000000001,0.1,True,1000.0,90.0
13.0,200,0.008,0.1,False,28.465933819302233,36.89557082473607
13.0,200,0.01,0.001,True,1000.0,90.0
13.0,200,0.01,0.001,True,1000.0,90.0
13.0,200,0.01,0.0001,True,1000.0,90.0
13.0,200,0.008,0.01,True,1000.0,90.0
13.0,200,0.008,0.01,False,28.465933819302233,36.89557082473607
13.0,200,0.008,0.1,True,1000.0,90.0
13.0,200,0.009000000000000001,0.001,False,33.66849134934273,51.24922374246279
13.0,200,0.01,0.01,True,1000.0,90.0
13.0,200,0.01,0.001,False,178.18971941911752,53.85985296179811
13.0,200,0.01,0.0001,False,178.18971941911752,53.85985296179811
13.0,200,0.009000000000000001,0.01,False,33.66849134934273,51.24922374246279
13.0,200,0.01,0.01,False,178.18971941911752,53.85985296179811
13.0,200,0.01,0.1,True,1000.0,90.0
13.0,200,0.02,0.001,True,1000.0,90.0
13.0,200,0.01,0.001,False,178.18971941911752,53.85985296179811
13.0,200,0.01,0.1,False,178.18971941911752,53.85985296179811
13.0,200,0.009000000000000001,0.1,False,33.66849134934273,51.24922374246279
13.0,200,0.01,0.0001,False,178.18971941911752,53.85985296179811
13.0,200,0.04,0.0001,False,1000.0,90.0
13.0,200,0.03,0.0001,True,1000.0,90.0
13.0,200,0.01,0.01,False,178.18971941911752,53.85985296179811
13.0,200,0.03,0.0001,False,1000.0,90.0
13.0,200,0.03,0.01,False,1000.0,90.0
13.0,200,0.03,0.001,False,1000.0,90.0
13.0,200,0.03,0.001,True,1000.0,90.0
13.0,200,0.03,0.1,False,1000.0,90.0
13.0,200,0.03,0.1,True,1000.0,90.0
13.0,200,0.02,0.01,True,1000.0,90.0
13.0,200,0.02,0.1,True,1000.0,90.0
13.0,200,0.03,0.01,True,1000.0,90.0
13.0,200,0.04,0.001,False,1000.0,90.0
13.0,200,0.04,0.0001,True,1000.0,90.0
13.0,200,0.04,0.01,False,1000.0,90.0
13.0,200,0.01,0.1,False,178.18971941911752,53.85985296179811
13.0,200,0.05,0.001,False,1000.0,90.0
13.0,200,0.05,0.0001,False,1000.0,90.0
13.0,200,0.04,0.1,False,1000.0,90.0
13.0,200,0.04,0.001,True,1000.0,90.0
13.0,200,0.05,0.01,False,1000.0,90.0
13.0,200,0.05,0.0001,True,1000.0,90.0
13.0,200,0.04,0.01,True,1000.0,90.0
13.0,200,0.02,0.0001,False,1000.0,90.0
13.0,200,0.04,0.1,True,1000.0,90.0
13.0,200,0.06,0.0001,False,1000.0,90.0
13.0,200,0.06,0.01,False,1000.0,90.0
13.0,200,0.05,0.001,True,1000.0,90.0
13.0,200,0.05,0.1,False,1000.0,90.0
13.0,200,0.06,0.001,False,1000.0,90.0
13.0,200,0.06,0.1,False,1000.0,90.0
13.0,200,0.07,0.001,False,1000.0,90.0
13.0,200,0.05,0.01,True,1000.0,90.0
13.0,200,0.07,0.0001,False,1000.0,90.0
13.0,200,0.06,0.0001,True,1000.0,90.0
13.0,200,0.05,0.1,True,1000.0,90.0
13.0,200,0.06,0.001,True,1000.0,90.0
13.0,200,0.02,0.001,False,1000.0,90.0
13.0,200,0.07,0.1,False,1000.0,90.0
13.0,200,0.06,0.01,True,1000.0,90.0
13.0,200,0.07,0.0001,True,1000.0,90.0
13.0,200,0.07,0.01,True,1000.0,90.0
13.0,200,0.07,0.01,False,1000.0,90.0
13.0,200,0.08,0.001,False,1000.0,90.0
13.0,200,0.06,0.1,True,1000.0,90.0
13.0,200,0.08,0.0001,False,1000.0,90.0
13.0,200,0.07,0.001,True,1000.0,90.0
13.0,200,0.08,0.01,False,1000.0,90.0
13.0,200,0.02,0.01,False,1000.0,90.0
13.0,200,0.07,0.1,True,1000.0,90.0
13.0,200,0.08,0.0001,True,1000.0,90.0
13.0,200,0.08,0.1,False,1000.0,90.0
13.0,200,0.02,0.1,False,1000.0,90.0
13.0,200,0.08,0.001,True,1000.0,90.0
13.0,200,0.08,0.1,True,1000.0,90.0
13.0,200,0.08,0.01,True,1000.0,90.0
13.0,200,0.09,0.001,False,1000.0,90.0
13.0,200,0.09,0.0001,False,1000.0,90.0
13.0,200,0.09,0.01,False,1000.0,90.0
13.0,200,0.09,0.001,True,1000.0,90.0
13.0,200,0.09,0.1,False,1000.0,90.0
13.0,200,0.09,0.0001,True,1000.0,90.0
13.0,200,0.1,0.001,False,1000.0,90.0
13.0,200,0.1,0.0001,False,1000.0,90.0
13.0,200,0.1,0.1,False,1000.0,90.0
13.0,200,0.09,0.01,True,1000.0,90.0
13.0,200,0.1,0.01,False,1000.0,90.0
13.0,200,0.1,0.0001,True,1000.0,90.0
13.0,200,0.1,0.001,True,1000.0,90.0
13.0,200,0.09,0.1,True,1000.0,90.0
13.0,200,0.1,0.0001,False,1000.0,90.0
13.0,200,0.1,0.01,True,1000.0,90.0
13.0,200,0.1,0.001,False,1000.0,90.0
13.0,200,0.1,0.01,False,1000.0,90.0
13.0,200,0.2,0.0001,False,1000.0,90.0
13.0,200,0.1,0.0001,True,1000.0,90.0
13.0,200,0.1,0.1,False,1000.0,90.0
13.0,200,0.2,0.001,False,1000.0,90.0
13.0,200,0.1,0.1,True,1000.0,90.0
13.0,200,0.2,0.1,False,1000.0,90.0
13.0,200,0.1,0.001,True,1000.0,90.0
13.0,200,0.2,0.01,False,1000.0,90.0
13.0,200,0.2,0.001,True,1000.0,90.0
13.0,200,0.2,0.0001,True,1000.0,90.0
13.0,200,0.1,0.01,True,1000.0,90.0
13.0,200,0.30000000000000004,0.0001,False,1000.0,90.0
13.0,200,0.1,0.1,True,1000.0,90.0
13.0,200,0.30000000000000004,0.001,False,1000.0,90.0
13.0,200,0.2,0.1,True,1000.0,90.0
13.0,200,0.30000000000000004,0.1,False,1000.0,90.0
13.0,200,0.2,0.01,True,1000.0,90.0
13.0,200,0.30000000000000004,0.01,False,1000.0,90.0
13.0,200,0.30000000000000004,0.0001,True,1000.0,90.0
13.0,200,0.4,0.0001,False,1000.0,90.0
13.0,200,0.30000000000000004,0.001,True,1000.0,90.0
